name	defined	refCount	sampleRef
pickRandomEntry	C:\Dev\Projects\JotFolio\source\src\lib\random\randomNote.js:5	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:51
parseSearchQuery	C:\Dev\Projects\JotFolio\source\src\lib\search\searchVault.js:57	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:21
matchesQuery	C:\Dev\Projects\JotFolio\source\src\lib\search\searchVault.js:167	9	C:\Dev\Projects\JotFolio\source\src\features\shell\appShellState.js:2
searchEntries	C:\Dev\Projects\JotFolio\source\src\lib\search\searchVault.js:191	0
loadModel	C:\Dev\Projects\JotFolio\source\src\lib\semantic\embed.js:55	0
embedText	C:\Dev\Projects\JotFolio\source\src\lib\semantic\embed.js:75	7	C:\Dev\Projects\JotFolio\source\src\App.jsx:891
_resetModelForTests	C:\Dev\Projects\JotFolio\source\src\lib\semantic\embed.js:88	1	C:\Dev\Projects\JotFolio\source\src\lib\semantic\index.test.js:20
buildSemanticIndex	C:\Dev\Projects\JotFolio\source\src\lib\semantic\index.js:94	4	C:\Dev\Projects\JotFolio\source\src\lib\hooks\useSemanticIndex.js:56
reembedEntry	C:\Dev\Projects\JotFolio\source\src\lib\semantic\index.js:147	4	C:\Dev\Projects\JotFolio\source\src\lib\hooks\useSemanticIndex.js:94
getSimilarEntries	C:\Dev\Projects\JotFolio\source\src\lib\semantic\index.js:180	5	C:\Dev\Projects\JotFolio\source\src\lib\hooks\useSemanticIndex.js:86
_internals	C:\Dev\Projects\JotFolio\source\src\lib\semantic\index.js:190	0
cosineSimilarity	C:\Dev\Projects\JotFolio\source\src\lib\semantic\similarity.js:5	0
findTopK	C:\Dev\Projects\JotFolio\source\src\lib\semantic\similarity.js:20	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:892
TEMPLATE_REFS_FIELD	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateBacklinks.js:5	0
templateReferenceKeys	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateBacklinks.js:15	0
getEntryTemplateRefs	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateBacklinks.js:30	0
addTemplateUsageToEntry	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateBacklinks.js:41	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:50
getTemplateIncoming	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateBacklinks.js:56	2	C:\Dev\Projects\JotFolio\source\src\features\templates\TemplatesPanel.jsx:2
getTemplateOutgoing	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateBacklinks.js:74	2	C:\Dev\Projects\JotFolio\source\src\features\templates\TemplatesPanel.jsx:2
TEMPLATE_DIR	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateStore.js:15	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:49
TEMPLATE_EXT	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateStore.js:16	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:49
loadTemplates	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateStore.js:35	6	C:\Dev\Projects\JotFolio\source\src\App.jsx:49
resolveVariables	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateStore.js:101	0
applyTemplateToNote	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateStore.js:179	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:49
insertTemplateAtCursor	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateStore.js:197	0
getThemeDefaults	C:\Dev\Projects\JotFolio\source\src\lib\theme\defaults.js:4	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:4
resolveColorScheme	C:\Dev\Projects\JotFolio\source\src\lib\theme\resolve.js:4	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:7
resolveThemeVars	C:\Dev\Projects\JotFolio\source\src\lib\theme\resolve.js:10	7	C:\Dev\Projects\JotFolio\source\src\App.jsx:7
assertThemeModePairs	C:\Dev\Projects\JotFolio\source\src\lib\theme\resolve.js:26	0
buildThemeCss	C:\Dev\Projects\JotFolio\source\src\lib\theme\themeCss.js:3	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:8
THEMES	C:\Dev\Projects\JotFolio\source\src\lib\theme\themes.js:1	16	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\ThemeDropdown.jsx:2
THEME_VAR_CONTRACT	C:\Dev\Projects\JotFolio\source\src\lib\theme\themes.js:63	0
getThemeContractIssues	C:\Dev\Projects\JotFolio\source\src\lib\theme\themes.js:107	2	C:\Dev\Projects\JotFolio\source\src\lib\theme\resolve.test.js:2
FONTS	C:\Dev\Projects\JotFolio\source\src\lib\theme\themes.js:123	3	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\FontDropdown.jsx:2
DEFAULT_VICTORY_COLORS	C:\Dev\Projects\JotFolio\source\src\lib\theme\themes.js:133	0
hexToRgb	C:\Dev\Projects\JotFolio\source\src\lib\theme\victoryTheme.js:2	0
mixHex	C:\Dev\Projects\JotFolio\source\src\lib\theme\victoryTheme.js:3	0
luminance	C:\Dev\Projects\JotFolio\source\src\lib\theme\victoryTheme.js:4	0
deriveVictoryTheme	C:\Dev\Projects\JotFolio\source\src\lib\theme\victoryTheme.js:5	2	C:\Dev\Projects\JotFolio\source\src\lib\theme\resolve.js:2
buildProjectRows	C:\Dev\Projects\JotFolio\source\src\lib\workstation\workstationData.js:183	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:44
buildTaskRows	C:\Dev\Projects\JotFolio\source\src\lib\workstation\workstationData.js:224	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:47
buildCalendarDays	C:\Dev\Projects\JotFolio\source\src\lib\workstation\workstationData.js:245	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:41
buildTagRows	C:\Dev\Projects\JotFolio\source\src\lib\workstation\workstationData.js:286	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:46
buildSpaceRows	C:\Dev\Projects\JotFolio\source\src\lib\workstation\workstationData.js:349	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:45
buildGlobalSearchResults	C:\Dev\Projects\JotFolio\source\src\lib\workstation\workstationData.js:409	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:43
buildCommandCenterModel	C:\Dev\Projects\JotFolio\source\src\lib\workstation\workstationData.js:456	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:42
useOpenRouterCallback	C:\Dev\Projects\JotFolio\source\src\lib\appHooks.js:6	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:15
useAppShortcuts	C:\Dev\Projects\JotFolio\source\src\lib\appHooks.js:29	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:15
getConstellationDemoEntries	C:\Dev\Projects\JotFolio\source\src\lib\demoEntries.js:41	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:12
exportEntriesJSON	C:\Dev\Projects\JotFolio\source\src\lib\exports.js:16	0
exportVaultBundle	C:\Dev\Projects\JotFolio\source\src\lib\exports.js:23	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:11
exportEntriesMD	C:\Dev\Projects\JotFolio\source\src\lib\exports.js:31	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:11
importVaultBundle	C:\Dev\Projects\JotFolio\source\src\lib\exports.js:70	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:11
